ORDER_NUMBER,CUSTOMER_KEY,ORDER_TOTAL,DISCOUNT,ORDER_DATE,ORDER_STATUS,DELIVERY_STATUS
O100000,C100000,85,0,18-05-2016,Delivered,ON-TIME
O100001,C100001,307.52,0,18-05-2016,Delivered,ON-TIME
O100002,C100002,0,0,18-05-2016,Delivered,ON-TIME
O100003,C100003,153.73,0,18-05-2016,Delivered,ON-TIME
O100004,C100004,-39.55,0,18-05-2016,Delivered,ON-TIME
O100005,C100005,1807.05,0,18-05-2016,Delivered,ON-TIME
O100006,C100006,1283.25,0,19-05-2016,Delivered,LATE
O100007,C100007,516.17,200,19-05-2016,Delivered,ON-TIME
O100008,C100002,0,0,25-05-2016,Cancelled,
O100009,C10067,708.99,0,10-02-2016,Delivered,ON-TIME
O100010,C100000,335.15,0,19-05-2016,Delivered,ON-TIME
O100011,C100008,329.79,0,19-05-2016,Delivered,ON-TIME
O100012,C100009,2568.05,0,20-05-2016,Delivered,ON-TIME
O100013,C100005,1307.05,0,20-05-2016,Delivered,ON-TIME
O100014,C100010,1935.37,200,20-05-2016,Delivered,ON-TIME
O100015,C100002,270.27,400,20-05-2016,Delivered,ON-TIME
O100016,C100002,0,164,20-05-2016,Delivered,ON-TIME
O100017,C100000,224.73,0,20-05-2016,Delivered,ON-TIME
O100018,C100011,1564.11,0,16-05-2016,Delivered,ON-TIME
O100019,C10067,464.61,0,10-02-2016,Delivered,ON-TIME
O100020,C100012,640.76,0,20-05-2016,Delivered,ON-TIME
O100021,C100013,618.12,0,20-05-2016,Delivered,ON-TIME
O100022,C100014,717.62,0,20-05-2016,Delivered,ON-TIME
O100023,C100015,591.29,0,16-05-2016,Delivered,ON-TIME
O100024,C100016,0,0,20-05-2016,Delivered,LATE
O100025,C100000,0,0,20-05-2016,Delivered,ON-TIME
O100026,C100016,0,0,20-05-2016,Delivered,ON-TIME
O100027,C100017,1138.18,0,20-05-2016,Delivered,ON-TIME
O100028,C100018,314,0,17-05-2016,Delivered,ON-TIME
O100029,C100019,407.52,0,20-05-2016,Delivered,ON-TIME
O100030,C10067,300.66,0,10-02-2016,Delivered,ON-TIME
O100031,C100020,1364.94,0,20-05-2016,Delivered,ON-TIME
